(26-270)	Sim: 0.22360679774997896
(26-274)	Sim: 0.4472135954999579
(26-275)	Sim: 0.11952286093343936
(26-287)	Sim: 0.4472135954999579
(26-312)	Sim: 0.0659380473395787
(26-315)	Sim: 0.18257418583505536
(26-334)	Sim: 0.16903085094570328
(26-354)	Sim: 0.1538967528127731
(26-367)	Sim: 0.09999999999999998
(26-425)	Sim: 0.31622776601683794
(26-443)	Sim: 0.22360679774997896
(26-444)	Sim: 0.06324555320336758
(27-76)	Sim: 0.822226451793038
(27-98)	Sim: 0.8660254037844387
(27-107)	Sim: 0.7366909581630523
(27-169)	Sim: 0.840168050416806
(27-327)	Sim: 0.07216878364870323
(28-125)	Sim: 0.0981761387347632
(28-137)	Sim: 0.25
(28-196)	Sim: 0.11952286093343936
(28-221)	Sim: 0.07602859212697055
(28-267)	Sim: 0.19802950859533489
(28-293)	Sim: 0.1889822365046136
(28-314)	Sim: 0.5
(28-324)	Sim: 0.12216944435630522
(28-413)	Sim: 0.14433756729740646
(28-416)	Sim: 0.2773500981126146
(29-184)	Sim: 0.7499999999999999
(29-213)	Sim: 0.22086305214969307
(29-367)	Sim: 0.31622776601683794
(29-396)	Sim: 0.18257418583505533
(30-61)	Sim: 0.06063390625908324
(30-107)	Sim: 0.05316609037562519
(30-109)	Sim: 0.08603090020146065
(30-111)	Sim: 0.1889822365046136
(30-125)	Sim: 0.061360086709227
(30-137)	Sim: 0.0625
(30-140)	Sim: 0.35355339059327373
(30-153)	Sim: 0.13470397652008118
(30-163)	Sim: 0.10206207261596577
(30-190)	Sim: 0.07905694150420949
(30-196)	Sim: 0.02988071523335984
(30-198)	Sim: 0.05892556509887897
(30-201)	Sim: 0.17677669529663687
(30-202)	Sim: 0.15811388300841897
(30-213)	Sim: 0.03904344047215152
(30-221)	Sim: 0.11404288819045583
(30-229)	Sim: 0.10206207261596577
(30-238)	Sim: 0.07905694150420949
(30-243)	Sim: 0.35355339059327373
(30-249)	Sim: 0.10240399006488006
(30-252)	Sim: 0.1386750490563073
(30-256)	Sim: 0.07905694150420949
(30-260)	Sim: 0.06063390625908324
(30-261)	Sim: 0.07537783614444091
(30-267)	Sim: 0.07426106572325057
(30-274)	Sim: 0.25
(30-281)	Sim: 0.07537783614444091
(30-288)	Sim: 0.14433756729740646
(30-298)	Sim: 0.08333333333333333
(30-308)	Sim: 0.13325044772225653
(30-309)	Sim: 0.07216878364870323
(30-312)	Sim: 0.07372097807744857
(30-316)	Sim: 0.17677669529663687
(30-324)	Sim: 0.18325416653445784
(30-345)	Sim: 0.0545544725589981
(30-354)	Sim: 0.1720618004029213
(30-357)	Sim: 0.1091089451179962
(30-362)	Sim: 0.14433756729740646
(30-369)	Sim: 0.06063390625908324
(30-371)	Sim: 0.05212860351426869
(30-378)	Sim: 0.09128709291752768
(30-384)	Sim: 0.17677669529663687
(30-392)	Sim: 0.06454972243679027
(30-395)	Sim: 0.0668153104781061
(30-397)	Sim: 0.05212860351426869
(30-400)	Sim: 0.052999894000318
(30-402)	Sim: 0.14433756729740646
(30-403)	Sim: 0.08385254915624211
(30-417)	Sim: 0.11180339887498948
(30-418)	Sim: 0.20412414523193154
(30-422)	Sim: 0.25
(30-427)	Sim: 0.08333333333333333
(31-46)	Sim: 0.2886751345948129
(31-54)	Sim: 0.18257418583505536
(31-97)	Sim: 0.09901475429766744
(31-103)	Sim: 0.06711560552140244
(31-107)	Sim: 0.0868198620259849
(31-125)	Sim: 0.020040120401405064
(31-137)	Sim: 0.10206207261596577
(31-169)	Sim: 0.09901475429766744
(31-190)	Sim: 0.12909944487358058
(31-199)	Sim: 0.4082482904638631
(31-221)	Sim: 0.062077085524420095
(31-226)	Sim: 0.25819888974716115
(31-254)	Sim: 0.18257418583505536
(31-256)	Sim: 0.12909944487358058
(31-260)	Sim: 0.09901475429766744
(31-267)	Sim: 0.04042260417272217
(31-289)	Sim: 0.24494897427831783
(31-293)	Sim: 0.07715167498104596
(31-308)	Sim: 0.04351941398892446
(31-310)	Sim: 0.1543033499620919
(31-344)	Sim: 0.08512565307587487
(31-350)	Sim: 0.09901475429766744
(31-351)	Sim: 0.11785113019775793
(31-353)	Sim: 0.4082482904638631
(31-364)	Sim: 0.07453559924999299
(31-378)	Sim: 0.07453559924999299
(31-397)	Sim: 0.08512565307587487
(31-427)	Sim: 0.13608276348795434
(31-431)	Sim: 0.2886751345948129
(31-435)	Sim: 0.08333333333333334
(32-55)	Sim: 0.17677669529663687
(32-61)	Sim: 0.12126781251816648
(32-125)	Sim: 0.0245440346836908
(32-141)	Sim: 0.22360679774997896
(32-142)	Sim: 0.16666666666666666
(32-153)	Sim: 0.08980265101338746
(32-158)	Sim: 0.15811388300841897
(32-182)	Sim: 0.35355339059327373
(32-183)	Sim: 0.11785113019775793
(32-195)	Sim: 0.31622776601683794
(32-196)	Sim: 0.05976143046671968
(32-222)	Sim: 0.08574929257125441
(32-234)	Sim: 0.15075567228888181
(32-247)	Sim: 0.15811388300841897
(32-257)	Sim: 0.1889822365046136
(32-267)	Sim: 0.04950737714883372
(32-275)	Sim: 0.1336306209562122
(32-281)	Sim: 0.07537783614444091
(32-309)	Sim: 0.2886751345948129
(32-313)	Sim: 0.17677669529663687
(32-354)	Sim: 0.057353933467640436
(32-364)	Sim: 0.09128709291752768
(32-374)	Sim: 0.1386750490563073
(32-392)	Sim: 0.12909944487358055
(33-102)	Sim: 0.22360679774997896
(33-313)	Sim: 0.35355339059327373
(33-316)	Sim: 0.35355339059327373
(33-420)	Sim: 0.20851441405707477
(34-54)	Sim: 0.22360679774997896
(34-59)	Sim: 0.12909944487358055
(34-103)	Sim: 0.08219949365267865
(34-107)	Sim: 0.03544406025041679
(34-109)	Sim: 0.11470786693528087
(34-110)	Sim: 0.1889822365046136
(34-125)	Sim: 0.0490880693673816
(34-146)	Sim: 0.17677669529663687
(34-147)	Sim: 0.1386750490563073
(34-153)	Sim: 0.08980265101338746
(34-181)	Sim: 0.5773502691896258
(34-183)	Sim: 0.11785113019775793
(34-185)	Sim: 0.3779644730092272
(34-221)	Sim: 0.07602859212697055
(34-234)	Sim: 0.15075567228888181
(34-242)	Sim: 0.35355339059327373
(34-267)	Sim: 0.04950737714883372
(34-278)	Sim: 0.30151134457776363
(34-312)	Sim: 0.07372097807744857
(34-330)	Sim: 0.11180339887498948
(34-344)	Sim: 0.10425720702853739
(34-352)	Sim: 0.35355339059327373
(34-365)	Sim: 0.17677669529663687
(34-371)	Sim: 0.10425720702853739
(34-400)	Sim: 0.105999788000636
(34-401)	Sim: 0.5
(34-403)	Sim: 0.05590169943749474
(34-410)	Sim: 0.5773502691896258
(34-413)	Sim: 0.07216878364870323
(34-416)	Sim: 0.1386750490563073
(35-114)	Sim: 0.5773502691896258
(35-120)	Sim: 0.14907119849998599
(35-125)	Sim: 0.056682020126513584
(35-183)	Sim: 0.13608276348795434
(35-221)	Sim: 0.04389512813061471
(35-222)	Sim: 0.09901475429766744
(35-231)	Sim: 0.06019292654288461
